tr_build_id,gh_project_name,tr_log_status,status_code,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_bool_tests_failed,tr_log_testduration,tr_log_setup_time,tr_log_buildduration,build_success_per_minute,missing_setup_time,missing_frameworks,missing_tests_failed,missing_tests_ok,missing_test_duration,tr_log_testduration_outlier,tr_log_num_tests_run_outlier,tr_log_buildduration_outlier
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,174.67000000000002,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,139.9,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,142.18,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,169.19,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,116.19,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,153.35000000000002,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,123.98000000000002,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,176.99999999999997,0.0,0.0,82.0,1,0,0,0,0,1,0,0
38752422,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,126.39,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,142.33,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,157.82,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,155.07999999999998,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,187.7,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,121.33,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,168.57,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,192.13,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,182.7,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39297745,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,144.08,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,149.97,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,172.69,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,151.73,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,146.51999999999998,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,141.44,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,173.68000000000004,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,119.15,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,141.84,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298622,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,118.32999999999998,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,185.46,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,137.94,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,123.07,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,158.75,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,140.19,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,177.73,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,154.03,0.0,0.0,82.0,1,0,0,0,0,1,0,0
39298661,BertrandBordage@django-cachalot,unknown,-3,82.0,0.0,82.0,False,142.41,0.0,0.0,82.0,1,0,0,0,0,1,0,0
